Date,Hours,Visitors,Visitors/Hr,Notes
5/2/2013,6,214,35.66666667,
5/3/2013,6,241,40.16666667,
5/4/2013,5,207,41.4,
5/5/2013,3,151,50.33333333,
5/6/2013,3,43,14.33333333,
5/7/2013,5,181,36.2,
5/8/2013,5,129,25.8,
5/9/2013,6,216,36,
5/10/2013,6,223,37.16666667,
5/11/2013,5,266,53.2,
5/12/2013,3,49,16.33333333,
5/13/2013,3,53,17.66666667,
5/14/2013,4,159,39.75,
5/15/2013,6,136,22.66666667,
5/16/2013,6,160,26.66666667,
5/17/2013,6,95,15.83333333,
5/18/2013,5,196,39.2,
5/19/2013,3,128,42.66666667,
5/20/2013,3,61,20.33333333,
5/21/2013,6,163,27.16666667,
5/22/2013,6,76,12.66666667,
5/23/2013,5,114,22.8,
5/24/2013,6,226,37.66666667,
5/25/2013,5,317,63.4,
5/26/2013,3,169,56.33333333,
5/27/2013,3,141,47,
5/28/2013,6,142,23.66666667,
5/29/2013,6,190,31.66666667,
5/30/2013,6,175,29.16666667,
5/31/2013,6,273,45.5,
6/1/2013,5,123,24.6,
6/2/2013,3,72,24,
6/3/2013,3,77,25.66666667,
6/4/2013,6,186,31,
6/5/2013,6,231,38.5,
6/6/2013,6,189,31.5,
6/7/2013,6,169,28.16666667,
6/8/2013,5,327,65.4,
6/9/2013,3,158,52.66666667,
6/10/2013,3,164,54.66666667,
6/11/2013,6,175,29.16666667,
6/12/2013,6,161,26.83333333,
6/13/2013,6,224,37.33333333,
6/14/2013,6,213,35.5,
6/15/2013,5,241,48.2,
6/16/2013,3,131,43.66666667,
6/17/2013,3,149,49.66666667,
6/18/2013,6,184,30.66666667,
6/19/2013,6,255,42.5,
6/20/2013,6,260,43.33333333,
6/21/2013,6,242,40.33333333,
6/22/2013,5,254,50.8,
6/23/2013,3,223,74.33333333,
6/24/2013,3,170,56.66666667,
6/25/2013,6,239,39.83333333,
6/26/2013,6,236,39.33333333,
6/27/2013,6,306,51,
6/28/2013,6,282,47,
6/29/2013,5,330,66,
6/30/2013,0,0,Closed,
7/1/2013,3,185,61.66666667,
7/2/2013,6,344,57.33333333,
7/3/2013,6,326,54.33333333,
7/4/2013,6,144,24,
7/5/2013,6,326,54.33333333,
7/6/2013,5,299,59.8,
7/7/2013,3,181,60.33333333,
7/8/2013,3,181,60.33333333,
7/9/2013,6,330,55,
7/10/2013,6,348,58,
7/11/2013,6,296,49.33333333,
7/12/2013,6,386,64.33333333,
7/13/2013,5,372,74.4,
7/14/2013,3,194,64.66666667,
7/15/2013,3,174,58,
7/16/2013,6,278,46.33333333,
7/17/2013,6,195,32.5,
7/18/2013,6,293,48.83333333,
7/19/2013,6,334,55.66666667,
7/20/2013,5,332,66.4,
7/21/2013,3,175,58.33333333,
7/22/2013,3,176,58.66666667,
7/23/2013,6,353,58.83333333,
7/24/2013,6,307,51.16666667,
7/25/2013,6,304,50.66666667,
7/26/2013,6,265,44.16666667,
7/27/2013,5,308,61.6,
7/28/2013,3,199,66.33333333,
7/29/2013,3,132,44,
7/30/2013,6,224,37.33333333,
7/31/2013,6,267,44.5,
8/1/2013,6,341,56.83333333,
8/2/2013,6,278,46.33333333,
8/3/2013,5,310,62,
8/4/2013,3,192,64,
8/5/2013,3,185,61.66666667,
8/6/2013,6,280,46.66666667,
8/7/2013,6,266,44.33333333,
8/8/2013,6,265,44.16666667,
8/9/2013,6,224,37.33333333,
8/10/2013,5,295,59,
8/11/2013,3,188,62.66666667,
8/12/2013,3,120,40,
8/13/2013,6,265,44.16666667,
8/14/2013,6,285,47.5,
8/15/2013,6,181,30.16666667,
8/16/2013,6,274,45.66666667,
8/17/2013,5,338,67.6,
8/18/2013,3,164,54.66666667,
8/19/2013,3,172,57.33333333,
8/20/2013,6,252,42,
8/21/2013,6,201,33.5,
8/22/2013,5,138,27.6,
8/23/2013,6,243,40.5,
8/24/2013,5,228,45.6,
8/25/2013,3,164,54.66666667,
8/26/2013,3,48,16,
8/27/2013,5,51,10.2,
8/28/2013,6,64,10.66666667,
8/29/2013,6,61,10.16666667,
8/30/2013,6,99,16.5,
8/31/2013,5,258,51.6,
9/1/2013,3,341,113.6666667,
9/2/2013,3,278,92.66666667,
9/3/2013,6,310,51.66666667,
9/4/2013,6,192,32,
9/5/2013,5,185,37,
9/6/2013,6,280,46.66666667,
9/7/2013,5,266,53.2,
9/8/2013,3,265,88.33333333,
9/9/2013,3,224,74.66666667,
