Date,Hours,Visitors,Visitors/Hr,Notes
12/29/2013,3,45,15,
12/30/2013,6,139,23.16666667,
12/31/2013,0,0,Closed,New Year's Eve
1/1/2014,0,0,Closed,New Year's Day
1/2/2014,3,31,10.33333333,
1/3/2014,6,108,18,
1/4/2014,6,85,14.16666667,
1/5/2014,3,76,25.33333333,
1/6/2014,6,11,1.833333333,
1/7/2014,6,6,1,
1/8/2014,2,14,7,
1/9/2014,3,91,30.33333333,
1/10/2014,0,0,Closed,Classes
1/11/2014,6,86,14.33333333,
1/12/2014,3,29,9.666666667,
1/13/2014,6,93,15.5,
1/14/2014,6,18,3,
1/15/2014,0,0,Closed,Classes
1/16/2014,3,58,19.33333333,
1/17/2014,6,54,9,
1/18/2014,6,98,16.33333333,
1/19/2014,3,95,31.66666667,
1/20/2014,6,201,33.5,
1/21/2014,6,109,18.16666667,
1/22/2014,6,16,2.666666667,
1/23/2014,3,9,3,
1/24/2014,0,0,Closed,Classes
1/25/2014,6,221,36.83333333,
1/26/2014,3,87,29,
1/27/2014,6,11,1.833333333,
1/28/2014,4,3,0.75,
1/29/2014,0,0,Closed,Classes
1/30/2014,0,0,Closed,Classes
1/31/2014,6,50,8.333333333,
2/1/2014,6,104,17.33333333,
2/2/2014,3,73,24.33333333,
2/3/2014,6,14,2.333333333,
2/4/2014,6,37,6.166666667,
2/5/2014,2,0,0,
2/6/2014,3,106,35.33333333,
2/7/2014,2,6,3,
2/8/2014,6,82,13.66666667,
2/9/2014,3,27,9,
2/10/2014,6,27,4.5,
2/11/2014,6,11,1.833333333,
2/12/2014,0,0,Closed,Snow
2/13/2014,0,0,Closed,Snow
2/14/2014,4,14,3.5,
2/15/2014,6,106,17.66666667,
2/16/2014,3,78,26,
2/17/2014,6,32,5.333333333,
2/18/2014,6,22,3.666666667,
2/19/2014,2,26,13,
2/20/2014,3,82,27.33333333,
2/21/2014,0,0,Closed,Classes
2/22/2014,6,106,17.66666667,
2/23/2014,3,86,28.66666667,
2/24/2014,6,19,3.166666667,
2/25/2014,6,54,9,
2/26/2014,2,18,9,
2/27/2014,3,38,12.66666667,
2/28/2014,0,0,Closed,Classes
3/1/2014,6,161,26.83333333,
3/2/2014,3,0,0,
3/3/2014,5,1,0.2,
3/4/2014,5,21,4.2,
3/5/2014,0,0,Closed,Classes
3/6/2014,0,0,Closed,Classes
3/7/2014,6,32,5.333333333,
3/8/2014,6,112,18.66666667,
3/9/2014,3,66,22,
3/10/2014,6,51,8.5,
3/11/2014,6,104,17.33333333,
3/12/2014,0,0,Closed,Classes
3/13/2014,0,0,Closed,Classes
3/14/2014,0,0,Closed,Classes
3/15/2014,6,127,21.16666667,
3/16/2014,3,98,32.66666667,
3/17/2014,6,86,14.33333333,
3/18/2014,6,29,4.833333333,
3/19/2014,0,0,Closed,Classes
3/20/2014,0,0,Closed,Classes
3/21/2014,0,0,Closed,Classes
3/22/2014,0,0,Closed,GIS Workshop
3/23/2014,3,68,22.66666667,
3/24/2014,6,43,7.166666667,
3/25/2014,6,39,6.5,
3/26/2014,2,5,2.5,
3/27/2014,3,82,27.33333333,
3/28/2014,6,142,23.66666667,
3/29/2014,6,379,63.16666667,
3/30/2014,3,111,37,
3/31/2014,6,197,32.83333333,
4/1/2014,6,151,25.16666667,
4/2/2014,6,150,25,
4/3/2014,3,80,26.66666667,
4/4/2014,6,112,18.66666667,
4/5/2014,6,129,21.5,
4/6/2014,3,37,12.33333333,
4/7/2014,6,127,21.16666667,
4/8/2014,6,140,23.33333333,
4/9/2014,0,0,Closed,Classes
4/10/2014,0,0,Closed,Classes
4/11/2014,1,15,15,
4/12/2014,6,72,12,
4/13/2014,3,60,20,
4/14/2014,6,93,15.5,
4/15/2014,6,185,30.83333333,
4/16/2014,6,62,10.33333333,
4/17/2014,3,107,35.66666667,
4/18/2014,6,171,28.5,
4/19/2014,6,205,34.16666667,
4/20/2014,3,28,9.333333333,
4/21/2014,6,66,11,
