Date,Hours,Visitors,Visitors/Hr,Notes
3/22/2013,3,45,,
3/23/2013,6,157,,
3/24/2013,3,100,,
3/25/2013,3,75,,
3/26/2013,3,65,,
3/27/2013,3,65,,
3/28/2013,8.5,135,,
3/29/2013,6,164,,
3/30/2013,6,163,,
3/31/2013,3,74,,
4/1/2013,3,80,,
4/2/2013,6,147,,
4/3/2013,6,148,,
4/4/2013,8.5,196,,
4/5/2013,6,153,,
4/6/2013,6,97,,
4/7/2013,3,64,,
4/8/2013,3,53,,
4/9/2013,3,31,,
4/10/2013,6,31,,
4/11/2013,8.5,125,,
4/12/2013,6,107,,
4/13/2013,6,129,,
4/14/2013,3,65,,
4/15/2013,3,61,,
4/16/2013,6,51,,
4/17/2013,6,48,,
4/18/2013,6,55,,
4/19/2013,6,44,,
4/20/2013,6,92,,
4/21/2013,3,56,,
4/22/2013,0,0,,
4/23/2013,4,39,,
4/24/2013,3,23,,
4/25/2013,5.5,49,,
4/26/2013,3.5,22,,
4/27/2013,6,136,,
4/28/2013,3,67,,
4/29/2013,3,44,,
4/30/2013,4,66,,
5/1/2013,6,66,,
5/2/2013,2.5,24,,
5/3/2013,4.5,51,,
5/4/2013,6,118,,
5/5/2013,3,73,,
5/6/2013,2,19,,
5/7/2013,6,90,,
5/8/2013,6,85,,
5/9/2013,8,70,,
5/10/2013,6,125,,
5/11/2013,6,79,,
5/12/2013,3,49,,
5/13/2013,3,38,,
5/14/2013,6,79,,
5/15/2013,6,25,,
5/16/2013,3,27,,
5/17/2013,6,55,,
5/18/2013,6,138,,
5/19/2013,3,93,,
5/20/2013,3,5,,
5/21/2013,6,35,,
5/22/2013,6,8,,
5/23/2013,7.5,47,,
5/24/2013,6,76,,
5/25/2013,6,125,,
5/26/2013,3,93,,
5/27/2013,3,65,,
5/28/2013,6,81,,
5/29/2013,6,115,,
5/30/2013,8,98,,
5/31/2013,6,98,,
6/1/2013,6,92,,
6/2/2013,3,67,,
6/3/2013,3,48,,
6/4/2013,6,77,,
6/5/2013,6,100,,
6/6/2013,8,122,,
6/7/2013,6,96,,
6/8/2013,6,143,,
6/9/2013,3,68,,
6/10/2013,3,42,,
6/11/2013,6,86,,
6/12/2013,6,88,,
6/13/2013,4,72,,
6/14/2013,6,81,,
6/15/2013,6,70,,
6/16/2013,3,55,,
6/17/2013,3,42,,
6/18/2013,2,18,,
6/19/2013,3,42,,
6/20/2013,5.5,66,,
6/21/2013,6,60,,
6/22/2013,6,111,,
6/23/2013,3,94,,
6/24/2013,3,45,,
6/25/2013,4.5,90,,
6/26/2013,3.5,54,,
6/27/2013,8,129,,
6/28/2013,4,100,,
6/29/2013,6,148,,
6/30/2013,0,0,,
7/1/2013,3,74,,
7/2/2013,6,131,,
7/3/2013,6,109,,
7/4/2013,6,95,,
7/5/2013,6,138,,
7/6/2013,6,140,,
7/7/2013,3,89,,
7/8/2013,3,65,,
7/9/2013,6,148,,
7/10/2013,4,79,,
7/11/2013,8,198,,
7/12/2013,2,42,,
7/13/2013,6,167,,
7/14/2013,3,76,,
7/15/2013,3,49,,
7/16/2013,6,102,,
7/17/2013,6,99,,
7/18/2013,8,244,,
7/19/2013,6,123,,
7/20/2013,6,156,,
7/21/2013,3,87,,
7/22/2013,3,21,,
7/23/2013,6,45,,
7/24/2013,6,89,,
7/25/2013,6.5,113,,
7/26/2013,6,73,,
7/27/2013,6,126,,
7/28/2013,3,55,,
7/29/2013,3,36,,
7/30/2013,6,69,,
7/31/2013,4,56,,
8/1/2013,8,151,,
8/2/2013,6,67,,
8/3/2013,6,104,,
8/4/2013,3,50,,
8/5/2013,3,50,,
8/6/2013,6,101,,
8/7/2013,3,36,,
8/8/2013,6,118,,
8/9/2013,6,83,,
8/10/2013,6,146,,
8/11/2013,3,83,,
8/12/2013,3,45,,
8/13/2013,6,80,,
8/14/2013,6,67,,
8/15/2013,8,190,,
8/16/2013,6,100,,
8/17/2013,6,137,,
8/18/2013,3,77,,
8/19/2013,3,58,,
8/20/2013,6,75,,
8/21/2013,2.5,23,,
8/22/2013,8,85,,
8/23/2013,6,71,,
8/24/2013,6,75,,
8/25/2013,3,70,,
8/26/2013,3,17,,
8/27/2013,6,8,,
8/28/2013,2,12,,
8/29/2013,7.5,35,,
8/30/2013,6,11,,
8/31/2013,6,158,,
9/1/2013,3,83,,
9/2/2013,3,71,,
9/3/2013,6,12,,
9/4/2013,6,23,,
9/5/2013,8,38,,
9/6/2013,6,45,,
9/7/2013,6,121,,
9/8/2013,3,42,,
9/9/2013,3,11,,
9/10/2013,6,7,,
9/11/2013,6,0,,
9/12/2013,8,18,,
9/13/2013,6,36,,
9/14/2013,6,100,,
